objectid,filename,compound,youtubeid,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
KP0001,KPr000_1.jpg,KPv000_1.jpg,,"The Street of Korean, Keijo",,1918-33,Color lithograph (halftone); ink on cardstock. Colorized photograph of a traditional street scene in Keijo (Kyung Sung).,city;Keijo;traditional architecture;market scene;customs and manners,"Seoul, colonial Korea",37.5665,126.9779,Cal Poly Pomona Global South Postcard Collection,KPr000_1.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0002,KPr000_2.jpg,KPv000_2.jpg,,"Ryuzan Station, Keijo","Hinode Shoko, Seoul (Publishing Firm)",1918-33,"Monochrome lithograph (halftone); ink on cardstock. Photograph of Ryuzan (Yongsan) railway station building completed between 1900 and 1915. Ryuzan (Yongsan) was a riverside district of Keijo (Kyung Sung), convenient to the rail bridges crossing the Han river and serving rail traffic from multiple lines. Developing Korea's railway infrastructure was a major focus of Japanese authorities. Japanese firms had been instrumental in laying the first rail lines even before Japanese colonial rule was formalized in 1910, and the Director General of Railway Bureau of the Government General of Chosen was one of the most powerful colonial officials. Postcards were issued by the Railway Bureau celebrating the wonders modern engineering (bridges, tunnels, rail lines), the beauty spots of the Korean peninsula (with first-class hotels for rail travellers), and the fact that rail networks connected the peninsula to the exterior. Amid this headlong rush to modernize through heavy industry and transport, the european-influenced design of the Ryuzan station building (with elements reminiscent of Swiss challets and the English half-timbered houses) was designed to convince the world of Korea's modernity and cosmopolitinism under Japanese rule.",railroad station;city;Keijo,"Yongsan Station, Seoul, Korea",37.5287,126.9652,Cal Poly Pomona Global South Postcard Collection,KPr000_2.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0003,KPr000_3.jpg,KPv000_3.jpg,,"""Imperial Sepulchre of Corea""",,1907-18,Collotype; ink on cardstock. Photograph of the Royal Tombs of the Joseon dynesty in ....,monuments;archeology;royal tombs,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_3.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0004,KPr000_4.jpg,KPv000_4.jpg,,Carrying Water of a Lady ,"Hinode Shoko, Seoul (Publishing Firm)",1918-33,Color lithograph (halftone); ink on cardstock. Colorized photograph of a peasant woman carrying a water jar and a baby.,water carrier; rural women; customs and manners,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_4.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0005,KPr000_5.jpg,KPv000_5.jpg,,A View and a Manner of Korea (Sedan Chair),"Hinode Shoko, Seoul (Publishing Firm)",1918-33,Color lithograph (halftone); ink on cardstock. Colorized and manipulated photograph of porters carrying a sedan chair. ,,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_5.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0006,KPr000_6.jpg,KPv000_6.jpg,,Kisan-girl and Chicken [Kitchen],"Hinode Shoko, Seoul (Publishing Firm)",1918-33,"Color lithograph (halftone); ink on cardstock. Colorized photograph of a gisaeng in traditional Korean Hanbok in the kitchen. Gisaeng (Kisaeng, 기생) were professional government entertainers who played an important part in the traditional culture of Korea. First appearing in the Goreyo Dynasty (918-1932), they were spread throughout the country as a distinct social group in the Joseon Dyansty (1392-1897). Gisaeng were rigorously trained in the fine arts, poetry, prose, music, and dance, and were respected for their performance as educated artists despite their low social rank. Under the Japanese rule, the official training system for gisaeng was abolished and the image of gisaeng was recreated as the object of the tourist gaze by the colonial power. The postcards of gisaeng, made and sold in sets under the name of “Chosŏn Customs,” reproduced the image of gisaeng as an exotic beauty, overemphasizing gisaeng’s sexual image and reducing the culturally significant female artists to a tourist spectacle. The postcards were mainly purchased by Japanese males who visited Korea in the 1920s but were  exported to China and other countries in Europe, too. ",,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_6.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0007,KPr000_7.jpg,KPv000_7.jpg,,Young Man Dressed in a Suit and Tie,,1918-33,"Color lithograph (halftone); ink on cardstock. Colorized photograph of a young man, perhaps a student or university graduate, in western style dress.",,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_7.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0008,KPr000_8.jpg,KPv000_8.jpg,,Man Smoking a Pipe,"Hinode Shoko, Seoul (Publishing Firm)",1918-33,"Color lithograph (halftone); ink on cardstock. Colorized photograph of a man smoking Gombangdae (곰방대, korean tobacco pipe)",,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_8.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0009,KPr000_9.jpg,KPv000_9.jpg,,Chang-tok Palace ,"Hinode Shoko, Seoul (Publishing Firm)",1907-18,"Collotype. Photograph of the Changdeokgung (창덕궁, Changdeok palace) in Seoul (original construction 1405-1412, rebuilt after fires in the 17th century, and again during the 1910-45 Japanese occupation). One of five royal palaces of the Joseon Dynasty, it served as the  residence of the last emperor, Sunjong, until his death in 1926.",,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_9.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
KP0010,KPr000_10.jpg,KPv000_10.jpg,,"Village Street, Chusan, Korea",,,"Color lithograph (halftone); ink on cardstock. Colorized photograph of villagers in Chusan (추산). It is not clear whether Chusan in the photograph refers to the small town in Ulleungdo, an island to the east of the Korean peninsula, or the town in the City of Iksan in the North Jeolla Province of Korea. ",,,,,Cal Poly Pomona Global South Postcard Collection,KPr000_10.jpg,Image;StillImage,image/jpeg,jap;eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
